Art.-Nr.,Name des Produkts,Gebinde,Kategorie,Top-Angebot,Unterkategorie,Preis Einzeln (CHF),Preis Pack (CHF),Eigenmarke,Status,Packungsgrösse,Einheit
113710,Weissbier Paulaner 24x50cl,Pack,Biere,FALSE,,,26.95,FALSE,Aktiv,24,flasche
87252,Weizenbier Maisels 4x50cl,Pack,Biere,FALSE,,,6.60,FALSE,Aktiv,4,flasche
91134,Bier Eichhof o.A. 0.0% 10 × 33 cl,Pack,Biere,FALSE,,,10.70,FALSE,Aktiv,10,flasche
74766,Bier Feld. o.A. 15 × 33 cl,Pack,Biere,FALSE,,,16.90,FALSE,Aktiv,15,flasche
66216,Bier Feld. o.A. Dose 15 × 50 cl,Pack,Biere,FALSE,,,24.95,FALSE,Aktiv,15,dose
87315,Bier Feld. o.A. MW 50 cl,Einzeln,Biere,FALSE,,1.70,,FALSE,Aktiv,,flasche
15102,Bier Feld. Peach 0.0 6 × 50 cl,Pack,Biere,FALSE,,,10.95,FALSE,Aktiv,6,flasche
97498,Bier Feld. Zitrone 0.0% 8 × 50 cl,Pack,Biere,FALSE,,,13.50,FALSE,Aktiv,8,flasche
113709,Bier Moretti zero 15 × 33 cl,Pack,Biere,FALSE,,,14.95,FALSE,Aktiv,15,flasche
102410,Bier Moretti zero 6 × 50 cl,Pack,Biere,FALSE,,,12.70,FALSE,Aktiv,6,flasche
104768,Bier Quöllfrisch o.A. 15 × 33 cl,Pack,Biere,FALSE,,,15.95,FALSE,Aktiv,15,flasche
104751,Bilz Stellare Aranc. 0.0 6 × 33 cl,Pack,Biere,FALSE,,,9.30,FALSE,Aktiv,6,flasche
109337,Bilz Stellare Limone 0.0 6 × 33 cl,Pack,Biere,FALSE,,,9.30,FALSE,Aktiv,6,flasche
57218,Bschorle EW 6 × 33 cl,Pack,Biere,FALSE,,,8.40,FALSE,Aktiv,6,flasche
87450,Lagerbier Farmer MW 50cl,Pack,Biere,FALSE,Bier mit Alkohol,0.60,14.40,TRUE,Aktiv,24,flasche
87602,Mountain Twister o.A. 8×33cl,Pack,Biere,FALSE,,,10.90,FALSE,Deaktiviert,8,flasche
69200,3 l bester Schweizer Wein,Einzeln,Weine,FALSE,,4.65,,FALSE,Aktiv,,stk
02128,Aigle blanc AOC 75 cl,Einzeln & Pack,Weine,FALSE,,11.90,71.40,FALSE,Aktiv,6,flasche
10868,Aigle Chablais blanc 50 cl,Einzeln & Pack,Weine,FALSE,,8.55,51.30,FALSE,Aktiv,6,flasche
36830,Amarone Salvaterra 50 cl,Einzeln & Pack,Weine,FALSE,,13.50,81.00,FALSE,Aktiv,6,flasche
88791,Amarone Salvaterra 75 cl,Einzeln & Pack,Weine,FALSE,,16.95,101.70,FALSE,Aktiv,6,flasche
52915,Amarone Valpolicella Zeni 75 cl,Einzeln & Pack,Weine,FALSE,,22.95,137.70,FALSE,Aktiv,6,flasche
55123,Amore Uno 75 cl,Einzeln & Pack,Weine,FALSE,,6.95,41.70,FALSE,Aktiv,6,flasche
61581,Appassimento Coronati 75 cl,Einzeln & Pack,Weine,FALSE,,5.95,35.70,FALSE,Aktiv,6,flasche
35703,Ass. Cépages Duvallon 75cl,Einzeln & Pack,Weine,FALSE,,5.95,35.70,FALSE,Aktiv,6,flasche
88236,Balance Che. blanc 75 cl,Einzeln & Pack,Weine,FALSE,,4.20,25.20,FALSE,Aktiv,6,flasche
88235,Balance Muscat 75 cl,Einzeln & Pack,Weine,FALSE,,4.20,25.20,FALSE,Aktiv,6,flasche
88945,Balance Shiraz Merlot 75 cl,Einzeln & Pack,Weine,FALSE,,4.20,25.20,FALSE,Aktiv,6,flasche
88355,Balance Shiraz Rosé 75 cl,Einzeln & Pack,Weine,FALSE,,4.20,25.20,FALSE,Aktiv,6,flasche
88954,Bar Royal Litchi 75 cl,Einzeln & Pack,Weine,FALSE,,4.50,27.00,FALSE,Aktiv,6,flasche
71679,Barbera Piemonte 150+1 75cl,Einzeln & Pack,Weine,FALSE,,6.95,41.70,FALSE,Aktiv,6,flasche
53019,Barbian Roble 75 cl,Einzeln & Pack,Weine,FALSE,,8.15,48.90,FALSE,Aktiv,6,flasche
19569,Blauburgunder CH 75 cl,Einzeln & Pack,Weine,FALSE,,5.95,35.70,FALSE,Aktiv,6,flasche
88390,Blauburgunder Hallau 75cl,Einzeln & Pack,Weine,FALSE,,7.95,47.70,FALSE,Aktiv,6,flasche
35797,Blauburgunder SH 75cl,Einzeln & Pack,Weine,FALSE,,7.80,46.80,FALSE,Aktiv,6,flasche
36442,Bonavita Red 75 cl,Einzeln & Pack,Weine,FALSE,,6.30,37.80,FALSE,Aktiv,6,flasche
65857,Borgo del Mandorlo Negro. 75 cl,Einzeln & Pack,Weine,FALSE,,8.15,48.90,FALSE,Aktiv,6,flasche
88713,Cabernet Sauvignon 5 l,Einzeln,Weine,FALSE,,18.95,,FALSE,Aktiv,,stk
81844,Calivo Emilia IGT 75 cl,Einzeln & Pack,Weine,FALSE,,8.70,52.20,FALSE,Aktiv,6,flasche
80436,Cannonau Sardegna Baiolu 75 cl,Einzeln & Pack,Weine,FALSE,,10.50,63.00,FALSE,Aktiv,6,flasche
68907,Cantello Vino Tinto 75 cl,Einzeln & Pack,Weine,FALSE,,8.50,51.00,FALSE,Aktiv,6,flasche
30045,Chardonnay Genève 75 cl,Einzeln & Pack,Weine,FALSE,,7.95,47.70,FALSE,Aktiv,6,flasche
